Bac.Via,plate,well,sample,treatment,bacteria,type,line,time,location,viability,date,Analyte Sample,HEKWell,Abs,log_pg.ml,pg.ml,LOD_pg.ml,via,concentration_avg,Bac.Via_label
Sau.live,2,72,SauC 48 Baso,S. aureus,Sau,sample,HNO919,48,Basal,live,3/6/2023,Unknown147,E12,3.071,3.031852570264607,1076.0998485288414,500,live,1076.0998485288414,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,2,21,SauC 48 Ap,S. aureus,Sau,sample,HNO919,48,Apical,live,2/14/2023,Unknown96,B6,3.208,3.153689153760964,1424.5875801673192,500,live,1424.5875801673192,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,2,46,SauB 48 Ap,S. aureus,Sau,sample,HNO204,48,Apical,live,2/28/2023,Unknown121,C9,3.046,3.0096196170718406,1022.3971191147817,500,live,1022.3971191147817,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,1,22,SauB 48 Baso,S. aureus,Sau,sample,HNO204,48,Basal,live,1/17/2023,Unknown22,C6,3.333,3.2648539197247937,1840.1529393513085,500,live,1840.1529393513085,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,1,71,SauB 48 Ap,S. aureus,Sau,sample,HNO204,48,Apical,live,2/7/2023,Unknown71,D12,2.975,2.9464780300043856,884.0524458147539,500,live,884.0524458147539,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,2,71,SauC 48 Ap,S. aureus,Sau,sample,HNO919,48,Apical,live,3/6/2023,Unknown146,D12,3.08,3.0398564334140024,1096.1157885567286,500,live,1096.1157885567286,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,1,21,SauB 48 Ap,S. aureus,Sau,sample,HNO204,48,Apical,live,1/17/2023,Unknown21,B6,3.335,3.2666325559802147,1847.7046679020914,500,live,1847.7046679020914,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Sau.live,1,46,SauC 48 Ap,S. aureus,Sau,sample,HNO919,48,Apical,live,1/24/2023,Unknown46,C9,3.162,3.1127805198862744,1296.523878993115,500,live,1296.523878993115,<b><span style='color:white;'>'</span><i><span style='color:#6D05A0;'>Sau</span></i><span style='color:white;'>'</span></b>
Spn.IRR,2,44,SpnB 48 Baso IRR,S. pneumoniae Irradiated,Spn,sample,HNO204,48,Basal,IRR,2/28/2023,Unknown119,A9,0.336,0.5995674909760159,3.977108974234619,3.977108974234619,IRR,3.977108974234619,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,2,19,SpnC 48 Baso IRR,S. pneumoniae Irradiated,Spn,sample,HNO919,48,Basal,IRR,2/14/2023,Unknown94,H5,1.374,1.5226797075396565,33.31806012231265,33.31806012231265,IRR,33.31806012231265,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,1,69,SpnB 48 Baso IRR,S. pneumoniae Irradiated,Spn,sample,HNO204,48,Basal,IRR,2/7/2023,Unknown69,B12,1.813,1.9130903656046256,81.86351075004879,81.86351075004879,IRR,81.86351075004879,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
Spn.IRR,1,44,SpnC 48 Baso IRR,S. pneumoniae Irradiated,Spn,sample,HNO919,48,Basal,IRR,1/24/2023,Unknown44,A9,1.692,1.8054828721516387,63.89735368032195,63.89735368032195,IRR,63.89735368032195,<b><span style='color:white;'>.</span><i><span style='color:#927ED1;'>Spn</span></i><span style='color:white;'>.</span></b>
