Date,Line,Species,bacteria_label,Temp,Well_Endpoint,FC
08_23_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,0.7671695289235716
08_23_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,5.104284960741946
08_23_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,2.373267508923691
08_23_2022,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,2.238812739930361
08_23_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.3791582699234153
08_23_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,0.9423571626441067
08_23_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.2151708937288772
08_23_2022,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.7504620771761745
08_23_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,2.4878412381530586
08_23_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,3.188979270163865
08_30_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1.2664092664092665
08_30_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,2.883018867924528
08_30_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,24,1.2877697841726619
08_30_2022,HNO918,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,37,48,2.982517482517482
08_30_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,1.2366412213740459
08_30_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.5291970802919708
08_30_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,1.6744966442953018
08_30_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,3.1650165016501646
08_30_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,1.4015444015444016
08_30_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,2.186379928315412
08_30_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.290909090909091
08_30_2022,HNO918,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.9658703071672357
